Core Temperatures (avg) [°C],CPU Core [°C],CPU Package Power [W],Total CPU Utility [%],GPU Temperature [°C],GPU Hot Spot Temperature [°C],GPU Power [W],GPU Utilization [%],GPU Memory Usage [%],Physical Memory Load [%],Virtual Memory Load [%],Charge Level [%],Wear Level [%],GPU Bus Load [%],Framerate Displayed (avg) [FPS],Frame Time Presented (avg) [ms]
46.5,49.7,14.436,7.5,45.4,48.8,16.593,0,16.8,30.6,41.7,97,9,0,40.1,24.87
48.1,51.8,19.031,14.5,45.6,50.7,36.03,0,17.1,30.9,42.3,97,9,0,142.0,7.06
47.3,49.8,17.526,11.6,46.0,49.8,30.186,0,17.6,31.0,42.4,97,9,0,50.0,20.24
45.2,46.4,9.633,4.9,45.9,49.2,20.477,0,17.8,31.0,42.5,97,9,0,101.9,9.88
45.7,47.6,12.509,6.9,45.5,49.3,20.032,0,17.7,31.0,42.5,97,9,0,64.1,15.79
46.2,49.4,12.622,5.8,45.4,49.1,20.731,0,18.0,31.0,42.5,97,9,0,69.4,14.58
44.4,45.5,7.968,3.8,45.6,49.2,18.714,0,18.0,31.0,42.5,97,9,0,62.3,16.23
46.4,49.4,14.742,9.9,45.0,48.8,17.677,0,18.0,31.1,42.6,97,9,0,63.0,16.06
47.8,52.3,17.458,9.7,45.4,48.8,16.966,0,18.0,31.1,42.6,97,9,0,63.0,16.06
44.7,45.8,8.42,4.2,46.2,49.0,16.662,0,17.6,31.0,42.5,97,9,0,8.8,103.67
45.4,47.4,11.96,8.0,45.1,48.8,19.196,0,18.1,31.0,42.5,97,9,1,14.5,70.08
45.0,46.3,10.149,4.6,45.2,48.7,18.27,0,18.1,31.0,42.5,97,9,1,18.3,55.19
44.6,46.4,9.754,5.5,45.2,48.8,17.036,0,18.3,31.0,42.5,97,9,0,15.6,64.82
44.8,46.1,9.816,5.8,44.8,48.7,18.793,0,18.1,30.9,42.3,97,9,1,20.8,48.1
43.8,44.8,6.976,2.7,45.0,48.7,16.36,0,17.9,30.8,42.2,97,9,0,18.6,52.35
45.3,47.7,12.741,8.2,44.6,48.8,20.035,0,18.5,30.8,42.4,97,9,2,24.6,41.02
44.4,45.6,9.123,5.3,44.9,48.6,18.938,0,18.0,30.7,42.1,97,9,1,28.3,35.43
43.8,44.9,7.725,3.6,44.8,48.6,17.222,0,18.0,30.7,42.1,97,9,0,21.7,44.64
44.0,45.1,8.537,4.3,44.5,48.4,17.12,0,18.0,30.7,42.1,97,9,0,21.7,44.64
43.7,44.8,7.923,4.0,44.5,48.2,18.43,0,18.8,30.8,42.4,97,9,0,37.4,27.09
44.2,46.1,9.991,6.0,44.4,48.9,23.304,0,18.4,30.8,42.4,97,9,0,143.6,6.98
44.0,45.3,9.181,5.7,44.6,48.4,23.683,0,18.0,30.8,42.2,97,9,0,92.7,8.52
45.6,48.5,13.699,8.9,44.5,48.4,18.156,0,16.9,30.3,41.4,97,9,0,53.8,18.8
