Core Temperatures (avg) [°C],CPU Core [°C],CPU Package Power [W],Total CPU Utility [%],GPU Temperature [°C],GPU Hot Spot Temperature [°C],GPU Power [W],GPU Utilization [%],GPU Memory Usage [%],Physical Memory Load [%],Virtual Memory Load [%],Charge Level [%],Wear Level [%],GPU Bus Load [%],Framerate Displayed (avg) [FPS],Frame Time Presented (avg) [ms]
56.4,67.1,34.265,26.5,49.8,50.2,21.108,0,15.0,30.0,41.0,97,9,1,135.8,3.39
53.2,61.2,26.425,18.9,49.6,50.3,23.446,0,15.3,30.1,41.1,97,9,1,135.8,3.39
53.9,65.8,27.888,17.8,48.8,50.2,19.821,0,15.3,30.8,42.1,97,9,0,135.8,3.39
53.9,66.9,27.447,18.0,48.6,50.0,18.97,0,14.9,31.7,42.7,97,9,0,29.5,33.71
53.6,64.7,27.328,20.2,48.4,50.0,18.708,0,14.6,30.4,41.0,97,9,0,26.8,37.18
49.7,56.2,17.788,16.1,48.6,49.9,18.681,0,14.6,29.3,39.9,97,9,0,25.9,38.6
49.8,56.6,18.6,18.6,47.3,49.8,18.754,0,14.6,29.3,39.9,97,9,0,25.5,39.24
48.8,56.2,16.254,14.1,46.9,49.8,18.778,0,14.6,29.4,40.0,97,9,0,25.3,39.51
48.6,56.3,16.312,14.1,46.5,49.7,18.808,0,14.6,29.3,39.8,97,9,0,25.2,39.62
47.7,53.8,15.026,13.7,46.4,49.4,18.59,0,14.6,29.3,39.8,97,9,0,25.2,39.69
47.8,53.6,15.905,14.9,46.2,49.7,18.64,0,14.6,29.3,39.8,97,9,0,25.2,39.7
47.7,53.2,15.839,14.5,46.2,49.4,18.716,0,14.6,29.3,39.8,97,9,0,25.2,39.71
47.7,53.5,15.774,14.1,46.1,49.3,18.468,0,14.6,29.3,39.8,97,9,0,25.2,39.71
47.6,53.5,15.748,14.0,46.2,49.5,18.73,0,14.7,29.3,39.9,97,9,0,25.5,39.18
47.6,53.2,15.597,13.9,46.1,49.4,18.587,0,14.6,29.3,39.9,97,9,0,25.3,39.51
47.7,54.2,15.804,14.2,46.0,49.2,18.572,0,14.7,29.3,39.9,97,9,0,25.2,39.64
52.6,62.2,28.547,26.8,46.0,49.6,19.498,0,15.3,29.3,40.1,97,9,1,121.1,8.31
47.7,52.3,13.82,10.0,47.4,49.5,19.494,0,15.5,29.3,40.1,97,9,0,165.0,3.13
46.2,50.1,11.473,7.8,46.5,49.8,17.862,0,15.2,29.3,40.0,97,9,0,165.0,3.13
46.1,49.5,10.853,8.6,45.7,49.3,17.571,0,15.2,29.3,40.0,97,9,0,17.0,59.84
46.5,49.9,13.36,9.3,45.6,49.2,18.207,0,15.2,29.2,40.1,97,9,1,20.3,49.51
47.5,52.2,15.925,10.6,45.7,49.5,18.643,0,16.7,29.2,40.4,97,9,1,39.4,25.69
46.1,50.2,11.564,8.5,46.1,49.2,18.859,0,16.8,29.2,40.4,97,9,0,73.2,13.8
45.9,49.6,11.818,8.3,45.6,49.0,16.511,0,16.0,29.3,40.3,97,9,0,23.6,42.99
46.2,50.7,12.538,8.3,45.5,49.2,17.264,0,16.0,29.2,40.1,97,9,0,52.4,19.32
48.5,54.5,18.759,13.7,45.5,49.2,18.322,0,14.3,29.2,40.1,97,9,0,91.0,11.07
48.2,53.9,16.767,11.4,46.1,48.8,17.006,0,14.3,29.2,40.1,97,9,0,66.4,15.2
48.4,54.2,17.518,12.0,46.0,49.2,17.084,0,14.3,29.2,39.7,97,9,0,59.6,16.85
47.0,50.9,13.561,9.4,46.1,49.1,17.026,0,14.3,29.2,39.6,97,9,0,32.5,31.19
46.1,49.8,11.915,8.2,45.8,49.2,16.856,0,14.3,29.2,39.6,97,9,0,34.7,29.11
45.7,49.4,11.006,8.1,45.6,49.1,15.509,0,14.3,29.1,39.6,97,9,0,34.7,29.11
46.4,50.1,13.333,9.9,45.4,48.8,15.521,0,14.3,29.1,39.6,97,9,0,14.1,72.16
48.1,53.3,16.542,13.0,45.3,49.2,17.082,0,14.3,29.2,39.6,97,9,0,26.5,38.14
51.5,57.1,26.439,22.4,46.0,50.9,36.44,0,14.7,29.6,40.2,97,9,0,119.1,8.42
49.2,54.0,19.702,16.1,47.1,50.8,34.059,0,15.1,29.7,40.4,97,9,0,96.9,10.39
47.4,51.5,14.764,10.4,46.5,49.8,19.925,0,15.5,29.7,40.5,97,9,0,26.4,29.41
46.6,50.8,12.801,9.0,46.2,49.3,16.092,0,15.5,29.7,40.5,97,9,0,26.6,37.88
45.8,48.4,10.84,7.8,45.9,49.4,16.228,0,15.7,29.7,40.5,97,9,0,11.4,88.82
48.0,52.8,17.041,11.6,45.7,49.5,18.794,0,16.5,29.7,40.7,97,9,1,16.6,61.03
46.5,49.6,13.032,10.2,46.2,49.3,16.872,0,16.0,29.7,40.5,97,9,5,13.2,76.54
46.3,48.7,11.822,8.5,45.7,49.7,19.545,0,15.8,29.7,40.5,97,9,1,21.7,46.33
45.1,46.7,9.145,7.4,45.8,49.3,18.358,0,15.5,29.7,40.5,97,9,2,24.2,41.6
45.7,47.4,11.764,8.6,45.3,49.2,20.034,0,15.8,29.7,40.6,97,9,1,38.3,26.36
45.1,46.4,9.488,6.7,45.4,49.7,19.525,0,15.6,29.7,40.6,97,9,2,41.8,24.06
44.6,45.7,8.448,4.8,45.3,49.1,19.513,0,15.9,29.8,40.7,97,9,0,69.6,14.52
45.1,47.1,10.629,7.2,45.1,49.4,20.969,0,15.9,29.8,40.7,97,9,0,99.6,10.12
45.7,48.1,11.334,9.4,45.1,49.2,19.328,0,15.9,29.8,40.5,97,9,2,21.1,47.94
46.0,48.2,12.648,9.6,45.4,48.9,16.523,0,15.5,29.8,40.5,97,9,0,29.4,34.46
49.8,55.1,23.225,23.9,45.4,49.2,18.468,0,14.2,29.5,39.9,97,9,0,64.8,10.93
49.2,53.7,20.29,20.9,46.2,48.9,15.57,0,14.2,29.5,39.9,97,9,0,21.2,35.14
47.2,50.8,14.964,13.9,46.2,48.9,15.72,0,14.2,29.6,39.9,97,9,0,12.7,46.9
46.1,49.5,12.579,8.6,45.9,49.2,15.646,0,14.2,29.6,39.9,97,9,0,9.2,77.73
47.4,51.5,16.158,16.6,45.7,48.9,15.736,0,14.2,29.7,40.1,97,9,0,7.2,107.74
47.0,50.3,14.254,14.9,45.9,48.8,15.254,0,14.2,29.8,40.1,97,9,0,6.0,136.58
49.0,53.5,20.579,19.5,45.8,49.1,16.4,0,16.0,29.8,40.7,97,9,1,165.0,5.35
54.9,66.4,34.256,26.9,46.2,49.3,20.87,0,16.2,30.0,41.0,97,9,1,165.0,5.55
53.5,62.8,29.101,20.8,48.2,49.8,19.7,0,15.7,29.9,40.9,97,9,0,165.0,3.57
50.5,56.6,22.587,17.8,48.3,49.7,18.942,0,15.4,30.0,40.9,97,9,0,154.7,3.57
50.0,55.7,21.516,15.8,47.5,49.5,18.333,0,15.1,30.0,40.8,97,9,0,27.9,35.87
56.0,64.2,35.079,34.3,47.5,49.9,20.899,0,14.9,30.0,41.0,97,9,1,156.1,3.79
53.4,61.6,28.153,20.6,49.1,50.1,19.976,0,15.9,30.0,40.9,97,9,0,156.1,3.79
52.4,60.0,25.682,18.0,48.7,50.1,20.07,0,15.1,30.0,40.8,97,9,0,158.4,6.65
51.1,57.8,22.869,15.8,48.3,50.4,18.844,0,15.0,30.0,40.6,97,9,0,158.4,6.65
50.1,56.6,20.235,12.3,47.8,50.2,19.689,0,15.2,29.9,40.6,97,9,0,40.4,24.51
49.6,56.6,19.081,10.5,48.1,50.1,18.569,0,14.9,29.9,40.6,97,9,0,30.5,32.91
52.4,59.1,26.401,19.4,47.4,52.4,32.188,0,15.0,29.8,40.6,97,9,0,53.0,19.07
53.7,61.3,28.914,22.9,48.4,52.6,38.046,0,15.9,30.0,41.1,97,9,0,162.3,4.25
57.0,64.7,36.521,33.0,48.9,51.8,23.777,0,15.7,30.1,41.1,97,9,1,162.3,4.25
57.5,65.3,35.481,31.4,50.2,51.6,21.137,0,15.5,30.3,41.2,97,9,1,160.1,6.25
54.8,62.8,28.689,21.1,50.8,51.4,20.826,0,15.1,30.4,41.1,97,9,0,154.8,3.9
53.7,60.4,26.997,19.9,50.0,51.5,19.62,0,15.1,30.5,41.1,97,9,0,154.8,3.9
56.4,63.3,33.677,26.6,49.5,53.5,39.506,0,15.6,30.4,41.2,97,9,0,163.9,6.1
56.1,62.8,31.992,24.1,50.5,52.6,27.704,0,15.5,30.5,41.2,97,9,0,141.3,7.11
54.4,61.2,27.757,21.3,50.7,52.3,20.808,0,15.4,30.5,41.3,97,9,0,141.3,7.11
56.5,63.7,32.75,26.0,50.1,52.2,21.598,0,15.3,30.6,41.3,97,9,1,164.2,6.09
55.5,63.5,30.205,21.9,51.0,52.2,20.947,0,15.2,30.6,41.2,97,9,1,162.3,6.16
55.5,62.9,30.239,21.3,50.7,52.3,21.834,0,15.1,30.6,41.2,97,9,1,164.5,6.08
55.6,63.0,30.28,22.4,50.7,52.2,21.475,0,15.1,30.6,41.2,97,9,1,161.8,6.18
54.3,60.4,27.065,17.5,50.8,52.2,19.85,0,15.5,30.6,41.3,97,9,0,58.9,4.58
54.9,62.8,28.921,18.7,50.3,52.3,21.287,0,15.3,30.8,41.5,97,9,1,58.9,4.58
59.7,66.5,39.734,43.8,50.7,52.2,21.474,0,15.5,31.1,41.8,97,9,1,158.4,6.32
56.4,63.7,30.834,23.5,51.7,52.7,21.477,0,15.3,31.1,41.8,97,9,1,161.1,6.21
56.1,63.7,30.793,22.7,51.4,52.5,21.644,0,15.3,31.3,42.0,97,9,1,162.1,6.17
55.8,63.3,30.071,21.3,51.1,52.4,21.256,0,15.3,31.5,42.2,97,9,1,163.8,6.1
55.8,63.9,30.211,21.9,51.1,52.7,21.518,0,15.1,31.6,42.2,97,9,1,160.2,6.25
56.7,64.2,31.896,25.1,51.0,52.6,20.915,0,15.1,31.6,42.1,97,9,1,160.7,6.23
55.9,63.5,30.075,21.6,51.3,52.5,21.57,0,15.1,31.6,42.1,97,9,1,165.0,6.06
53.9,59.0,25.08,15.3,51.1,52.7,21.8,0,15.3,31.6,42.1,97,9,0,133.2,3.91
52.3,56.7,21.927,13.8,50.5,52.4,19.445,0,15.2,31.6,42.2,97,9,1,133.2,3.91
55.8,63.9,29.291,27.2,49.5,52.3,18.577,0,15.2,31.7,42.2,97,9,0,34.3,28.92
51.3,54.8,18.955,13.1,50.5,52.3,19.127,0,15.0,31.7,42.2,97,9,0,28.3,35.3
51.7,57.3,19.8,13.3,49.1,52.0,19.391,0,15.0,31.7,42.0,97,9,0,26.3,37.93
49.7,51.9,16.327,6.7,49.2,52.3,19.213,0,15.0,31.6,42.0,97,9,0,25.5,39.1
50.5,53.3,18.751,8.6,48.5,51.9,19.377,0,14.9,31.6,42.0,97,9,0,27.9,35.79
50.1,52.0,17.601,8.1,48.6,51.8,19.276,0,14.9,31.6,42.0,97,9,0,26.1,38.22
48.8,50.8,14.275,9.2,48.5,52.1,19.715,0,14.9,31.6,42.0,97,9,1,38.6,25.62
49.0,50.8,14.997,6.8,47.9,51.7,18.82,0,14.9,31.6,42.0,97,9,0,29.5,33.74
48.9,51.2,15.151,7.9,48.0,51.8,19.014,0,14.9,31.6,42.0,97,9,0,29.6,34.33
49.4,51.8,15.464,9.9,47.8,51.7,20.27,0,15.9,31.7,42.3,97,9,0,37.5,26.5
48.3,49.8,14.113,7.1,48.0,51.6,19.536,0,15.9,31.6,42.2,97,9,1,43.6,23.27
50.7,54.0,21.043,10.0,47.6,53.8,34.606,0,16.4,31.7,42.5,97,9,0,46.9,21.09
51.8,55.8,23.148,15.6,48.4,52.8,38.466,0,16.3,31.9,42.6,97,9,0,43.1,22.96
53.7,60.2,25.595,18.0,48.7,52.1,20.497,0,16.3,31.8,42.5,97,9,0,39.2,25.28
52.1,56.5,22.437,13.6,49.5,52.4,20.322,0,16.1,31.7,42.3,97,9,0,38.0,26.02
49.1,51.4,14.096,8.8,49.1,54.1,31.252,0,16.0,31.6,42.3,97,9,0,30.4,32.84
47.8,48.9,11.219,6.2,48.3,53.3,38.42,0,16.0,31.6,42.3,97,9,0,27.8,35.95
50.3,53.5,18.142,10.2,47.8,52.6,20.742,0,16.0,31.6,42.4,97,9,0,26.8,37.23
50.3,55.9,16.77,8.9,48.4,52.2,20.136,0,16.0,31.6,42.3,97,9,0,26.6,37.49
49.0,51.3,14.588,8.0,48.5,52.0,19.45,0,16.0,31.6,42.3,97,9,0,28.6,35.43
52.6,57.0,25.088,16.1,48.0,53.6,18.72,0,17.0,31.6,42.4,97,9,0,137.9,7.24
55.3,62.8,30.454,20.7,49.2,53.3,39.431,0,16.2,31.6,42.4,97,9,0,164.6,6.07
55.2,62.6,29.276,19.2,50.7,53.0,27.38,0,16.2,31.6,42.4,97,9,1,165.0,6.06
55.4,63.1,29.271,19.5,50.8,52.9,21.623,0,16.0,31.6,42.5,97,9,1,163.7,6.11
56.7,63.3,32.258,27.3,51.0,53.0,23.786,0,16.9,31.7,42.7,97,9,0,138.2,7.09
55.6,60.9,28.918,21.2,51.2,53.3,23.611,0,17.0,31.7,42.8,97,9,0,131.2,7.48
55.2,59.9,28.019,19.6,51.0,53.5,24.263,0,16.9,31.7,42.7,97,9,0,156.2,6.4
56.1,61.2,30.477,22.2,50.9,54.1,32.068,0,17.1,31.7,42.7,97,9,0,159.0,6.3
55.6,61.0,28.762,20.1,51.3,54.5,28.648,0,17.1,31.7,42.8,97,9,0,146.4,3.54
56.4,64.0,29.744,21.2,51.2,53.7,21.808,0,16.7,31.7,42.7,97,9,1,146.4,3.54
56.2,63.6,28.851,19.4,51.7,53.6,21.685,0,16.6,31.7,42.7,97,9,1,164.5,6.08
55.9,62.6,27.864,18.0,51.7,54.0,21.614,0,16.5,31.7,42.7,97,9,1,59.7,3.91
52.7,55.1,20.301,10.8,51.8,53.6,20.088,0,16.8,31.7,42.6,97,9,1,59.7,3.91
51.4,53.1,17.708,6.7,50.4,53.5,18.969,0,16.8,31.7,42.6,97,9,0,59.7,3.91
54.2,58.4,23.521,20.3,50.0,53.4,18.641,0,16.3,31.7,42.6,97,9,0,10.8,40.0
48.5,49.4,8.737,4.5,50.6,53.0,17.444,0,16.1,31.6,42.5,97,9,0,8.6,40.0
48.5,49.6,9.909,6.8,48.7,53.0,17.478,0,16.1,31.5,42.2,97,9,0,6.9,40.04
49.6,51.4,14.185,12.8,48.5,52.7,17.486,0,16.1,31.5,42.2,97,9,0,5.7,40.04
48.8,50.3,11.093,6.0,48.5,52.4,17.581,0,16.1,31.4,42.2,97,9,0,4.8,40.04
49.9,52.9,16.053,8.6,48.5,52.6,17.767,0,16.1,31.5,42.2,97,9,0,4.9,39.98
49.3,51.0,13.604,7.3,48.6,52.3,17.58,0,16.1,31.4,42.1,97,9,0,4.4,40.04
47.7,48.8,9.587,5.6,48.4,52.2,17.663,0,16.0,31.4,42.1,97,9,0,4.1,40.04
50.6,53.8,17.596,19.2,47.8,52.3,17.46,0,16.0,31.4,42.2,97,9,0,3.7,39.98
51.2,56.1,18.626,16.6,48.4,52.1,17.465,0,15.9,31.3,42.1,97,9,0,3.5,40.04
50.9,56.0,16.981,13.7,48.7,52.1,17.778,0,15.9,31.3,42.0,97,9,1,3.5,40.03
47.1,48.2,8.007,4.2,48.9,52.2,18.062,0,16.3,31.2,42.0,97,9,1,3.9,40.02
47.1,48.4,8.758,5.1,47.6,51.8,18.153,0,16.2,31.2,42.0,97,9,0,4.9,39.98
46.8,48.0,7.898,4.3,47.4,52.0,17.683,0,16.3,31.2,42.0,97,9,0,5.0,40.02
46.9,48.7,8.899,5.9,47.3,51.8,17.505,0,16.3,31.2,42.0,97,9,0,4.4,39.98
47.0,48.6,9.15,7.4,47.1,51.5,17.77,0,16.3,31.3,42.1,97,9,1,4.3,40.07
46.3,47.2,7.416,3.7,47.2,51.8,17.605,0,16.3,31.3,42.0,97,9,0,4.5,39.98
46.0,47.0,7.282,3.4,46.8,51.6,17.517,0,16.3,31.2,42.0,97,9,0,4.0,39.98
45.9,46.8,7.239,3.3,46.6,51.1,17.463,0,16.3,31.2,42.0,97,9,0,3.7,40.02
45.8,46.7,7.327,3.3,46.4,51.1,17.554,0,16.3,31.2,42.0,97,9,0,3.4,40.02
45.9,46.8,7.907,3.8,46.3,51.1,17.546,0,16.3,31.2,42.0,97,9,0,3.1,40.02
45.7,46.6,7.519,3.6,46.3,50.7,17.563,0,16.3,31.2,41.9,97,9,0,2.9,39.96
45.7,46.7,7.889,4.3,46.2,51.0,17.743,0,16.4,31.2,42.0,97,9,0,2.7,40.32
45.6,46.6,7.859,3.9,46.2,50.7,17.651,0,16.3,31.2,42.0,97,9,0,2.6,40.08
45.6,46.5,7.966,3.9,46.1,50.5,17.829,0,16.3,31.2,42.0,97,9,2,2.8,40.02
45.6,46.6,8.656,4.4,46.0,52.4,32.102,0,16.5,31.2,42.0,97,9,0,3.1,40.07
45.5,46.4,8.493,3.6,46.1,52.8,37.65,0,16.5,31.2,42.0,97,9,0,3.1,40.01
45.7,46.7,8.7,4.4,46.1,51.0,19.863,0,16.5,31.2,42.0,97,9,0,3.1,39.98
45.7,46.6,8.366,4.4,46.1,50.8,18.15,0,16.5,31.2,42.0,97,9,0,3.6,40.04
45.6,46.5,8.1,4.9,46.0,50.6,16.873,0,16.5,31.2,41.8,97,9,0,3.2,40.05
45.4,46.3,7.682,3.7,46.0,50.4,16.841,0,15.9,31.2,41.8,97,9,0,3.0,40.04
45.4,46.3,8.046,3.8,45.9,50.5,16.829,0,15.9,31.2,41.8,97,9,0,2.8,40.04
45.5,46.6,8.548,5.1,45.9,50.2,17.048,0,15.9,31.2,41.8,97,9,1,33.8,30.01
47.4,50.1,14.702,11.4,45.9,50.4,18.248,0,17.6,31.2,42.4,97,9,1,154.8,5.61
48.9,52.9,17.442,10.9,46.3,50.6,21.462,0,17.7,31.2,42.4,97,9,0,157.6,4.81
45.7,46.6,8.606,5.0,47.3,50.3,18.999,0,16.8,31.2,42.5,97,9,0,157.6,4.81
52.8,59.6,29.173,24.2,46.0,50.6,21.293,0,18.1,31.3,42.6,97,9,0,154.9,4.73
51.9,56.9,24.888,15.5,48.3,50.8,21.601,0,16.9,31.3,42.6,97,9,1,154.9,3.68
46.0,46.8,7.729,3.6,48.5,50.4,18.698,0,17.0,31.3,42.4,97,9,0,148.5,3.68
45.8,46.6,8.086,3.8,46.4,50.7,18.261,0,16.7,31.3,42.2,97,9,0,28.5,34.99
47.2,48.6,13.203,8.5,46.1,50.4,18.271,0,16.3,31.3,42.2,97,9,0,25.8,38.66
51.1,56.3,24.7,16.0,46.4,50.5,20.687,0,16.5,31.3,42.1,97,9,1,158.5,6.32
47.9,49.7,13.649,7.5,47.8,50.9,20.559,0,16.6,31.3,42.1,97,9,0,138.0,4.42
46.3,47.4,10.118,5.9,47.1,50.6,18.764,0,16.5,31.3,42.1,97,9,0,138.0,4.42
49.6,53.4,19.55,13.1,46.2,50.4,19.898,0,16.6,31.2,42.1,97,9,0,75.9,13.29
49.1,53.3,17.031,10.7,47.2,50.6,17.796,0,16.6,31.2,42.1,97,9,0,66.3,15.24
47.9,50.4,13.86,7.5,47.2,50.3,17.407,0,16.6,31.2,42.1,97,9,0,36.4,24.56
52.9,58.2,27.42,20.3,47.0,52.3,38.209,0,16.9,31.6,42.7,97,9,0,139.9,7.15
47.8,49.7,13.384,10.1,48.5,52.0,34.78,0,17.3,31.8,43.1,97,9,0,38.8,25.94
47.8,49.5,14.108,7.2,47.1,50.8,19.074,0,18.8,31.8,43.1,97,9,0,24.0,42.21
48.2,50.9,15.327,9.6,47.1,51.0,21.114,0,17.8,31.8,42.9,97,9,0,97.7,10.21
48.0,50.0,14.53,11.4,47.1,50.9,16.91,0,17.8,31.4,42.7,97,9,1,83.1,12.14
51.9,56.2,25.011,15.6,46.9,52.8,36.635,0,17.7,31.4,42.7,97,9,0,140.8,4.69
